City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kodinsk,RU,58.6881,99.1844,28.94,78,76,5.88,broken clouds
80,Egvekinot,RU,66.3167,-179.1667,25.79,84,99,17.29,overcast clouds
81,Staryy Nadym,RU,65.6118,72.6842,40.96,86,39,21.3,scattered clouds
82,Moindou,NC,-21.6924,165.677,66.15,85,0,5.64,clear sky
83,Villacarrillo,ES,38.1156,-3.0848,68.99,36,3,5.5,clear sky
84,Sorland,NO,67.667,12.6934,44.67,76,100,21.43,overcast clouds
85,Saint George,US,37.1041,-113.5841,75.67,48,43,3.0,scattered clouds
86,Vila Velha,BR,-20.3297,-40.2925,76.95,83,90,10.36,overcast clouds
87,Sabha,LY,27.0377,14.4283,79.34,21,0,10.31,clear sky
88,Kapaa,US,22.0752,-159.319,77.18,78,1,13.8,light rain
89,Hasaki,JP,35.7333,140.8333,68.4,74,100,11.5,overcast clouds
90,Labuhan,ID,-6.8844,112.2051,77.97,69,98,12.21,overcast clouds
91,Busselton,AU,-33.65,115.3333,49.05,71,94,6.6,overcast clouds
92,Cabul-An,PH,10.15,124.05,81.03,78,99,2.42,overcast clouds
93,Bethel,US,41.3712,-73.414,70.92,77,90,3.44,overcast clouds
94,Gus-Khrustalnyy,RU,55.6111,40.6519,39.97,76,82,3.49,broken clouds
95,Kavieng,PG,-2.5744,150.7967,78.66,79,98,2.33,moderate rain
96,Harper,LR,4.375,-7.7169,79.41,82,33,8.03,scattered clouds
97,Arlit,NE,18.7369,7.3853,92.19,11,1,15.5,clear sky
98,Kuusamo,FI,65.9667,29.1833,46.44,87,90,12.66,moderate rain
99,Saint Anthony,US,45.0205,-93.218,71.11,79,90,1.99,overcast clouds
100,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,86.58,67,100,1.68,overcast clouds
101,Piranshahr,IR,36.701,45.1413,52.45,36,0,3.89,clear sky
102,Kolpny,RU,52.2282,37.0368,39.79,52,17,7.92,few clouds
103,Perevolotskiy,RU,51.8763,54.1938,38.95,68,36,2.48,scattered clouds
104,Seoul,KR,37.5683,126.9778,67.51,91,90,3.44,overcast clouds
105,Vila,PT,42.0304,-8.1588,65.34,71,6,3.58,clear sky
106,Port Blair,IN,11.6667,92.75,80.76,82,100,10.4,light rain
107,Ballina,AU,-28.8667,153.5667,51.78,93,0,0.0,clear sky
108,Bluff,NZ,-46.6,168.3333,48.79,96,26,3.83,scattered clouds
109,Cabo San Lucas,MX,22.8909,-109.9124,94.51,59,0,2.33,clear sky
110,Blagoyevo,RU,63.3667,47.9167,43.2,82,48,9.17,scattered clouds
111,Timra,SE,62.487,17.3257,51.51,96,90,3.44,mist
112,Zapolyarnyy,RU,69.4154,30.8136,47.48,92,100,5.48,overcast clouds
113,Boksitogorsk,RU,59.474,33.8485,47.61,73,1,8.68,clear sky
114,Noyabrsk,RU,63.1994,75.4507,40.5,82,54,16.33,broken clouds
115,Narsaq,GL,60.9167,-46.05,41.61,50,100,5.23,overcast clouds
116,Whyalla,AU,-33.0333,137.5833,52.83,63,24,14.05,few clouds
117,Buchanan,LR,5.8808,-10.0467,80.56,81,92,9.53,overcast clouds
118,Cabra,ES,37.4725,-4.4421,81.84,32,28,5.19,scattered clouds
119,Alofi,NU,-19.0595,-169.9187,69.69,94,45,1.14,scattered clouds
120,North Platte,US,41.1239,-100.7654,73.99,49,1,8.99,clear sky
121,Erdemli,TR,36.605,34.3084,72.7,40,0,6.08,clear sky
122,Clyde River,CA,70.4692,-68.5914,34.03,100,90,5.75,light intensity drizzle
123,Portland,US,45.5234,-122.6762,57.61,82,75,3.0,broken clouds
124,Meulaboh,ID,4.1363,96.1285,77.43,88,100,6.67,overcast clouds
